deltatheta [deg],	GI/G0,	GII/G0,	GTOT/G0
10.0,	 0.143990,	0.036954,	0.180944
20.0,	 0.206722,	0.141839,	0.348561
30.0,	 0.187559,	0.302580,	0.490139
40.0,	 0.116317,	0.480008,	0.596325
50.0,	 0.039612,	0.622260,	0.661872
60.0,	 0.000335,	0.685556,	0.685891
70.0,	 0.000008,	0.670311,	0.670318
80.0,	 0.000012,	0.608492,	0.608505
90.0,	 0.000011,	0.496920,	0.496930
100.0, 0.000010,	0.356348,	0.356358
110.0, 0.000006,	0.217142,	0.217148
120.0, 0.000004,	0.105969,	0.105973
130.0, 0.000001,	0.036306,	0.036308
140.0, 0.000000,	0.005665,	0.005665
150.0, 0.000444,	0.000028,	0.000473
